#
# National Water Information System
# 2018/03/05
#
#
# Date Retrieved: USGS Water Data for the Nation Help System
#
site_tp_cd	site_tp_srt_nu	site_tp_vld_fg	site_tp_prim_fg	site_tp_nm	site_tp_ln	site_tp_ds
FA-HP	40	Y	N	Hydroelect	Hydroelectric plant	A facility that generates electric power by converting potential energy of water into kinetic energy. Typically, turbine generators are turned by falling water.
FA-LF	42	Y	N	Landfill	Landfill	A typically dry location on the surface of the land where primarily solid waste products are currently, or previously have been, aggregated and sometimes covered with a veneer of soil. See also: Wastewater disposal and waste-injection well.
FA-OF	43	Y	N	Outfall	Outfall	A site where water or wastewater is returned to a surface-water body, e.g. the point where wastewater is returned to a stream. Typically, the discharge end of an effluent pipe.
FA-PV	44	Y	N	Pavement	Pavement	A surface site where the land surface is covered by a relatively impermeable material, such as concrete or asphalt.  Pavement sites are typically part of transportation infrastructure, such as roadways, parking lots, or runways.
FA-QC	41	Y	N	QC lab	Laboratory or sample-preparation area	A site where some types of quality-control samples are collected, and where equipment and supplies for environmental sampling are prepared. Equipment blank samples are commonly collected at this site type, as are samples of locally produced deionized water. This site type is typically used when the data are either not associated with a unique environmental data-collection site, or where blank water supplies are designated by Center offices with unique station IDs.
FA-SEW	49	Y	N	Sewer-wste	Wastewater sewer	"An underground conduit created to convey liquid and semisolid domestic, commercial, or industrial waste into a treatment plant, stream, reservoir, or disposal site. If the sewer also conveys storm water, then the ""combined sewer"" secondary site type should be used."
FA-SPS	45	Y	N	Septic sys	Septic system	A site within or in close proximity to a subsurface sewage disposal system that generally consists of: (1) a septic tank where settling of solid material occurs, (2) a distribution system that transfers fluid from the tank to (3) a leaching system that disperses the effluent into the ground.
FA-STS	46	Y	N	Sewer-strm	Storm sewer	"An underground conduit created to convey storm drainage into a stream channel or reservoir. If the sewer also conveys liquid waste products, then the ""combined sewer"" secondary site type should be used."
FA-TEP	47	Y	N	Thermoelec	Thermoelectric plant	A facility that uses water in the generation of electricity from heat. Typically turbine generators are driven by steam. The heat may be caused by various means, including combustion, nuclear reactions, and geothermal processes.
FA-WDS	52	Y	N	Wtr distr	Water-distribution system	A site located somewhere on a networked infrastructure that distributes treated or untreated water to multiple domestic, industrial, institutional, and (or) commercial users. May be owned by a municipality or community, a water district, or a private concern.
FA-WIW	48	Y	N	Waste Inj	Waste injection well	A facility used to convey industrial waste, domestic sewage, brine, mine drainage, radioactive waste, or other fluid into an underground zone. An oil-test or deep-water well converted to waste disposal should be in this category. A well where fresh water is injected to artificially recharge thegroundwaterr supply or to pressurize an oil or gas production zone by injecting a fluid should be classified as a well (not an injection-well facility), with additional information recorded under Use of Site.
FA-WTP	53	Y	N	WTP	Water-supply treatment plant	A facility where water is treated prior to use for consumption or other purpose.
FA-WU	54	Y	N	WU estab	Water-use establishment	A place-of-use (a water using facility that is associated with a specific geographical point location, such as a business or industrial user) that cannot be specified with any other facility secondary type. Water-use place-of-use sites are establishments such as a factory, mill, store, warehouse, farm, ranch, or bank. A place-of-use site is further classified using the national water-use category code (C39) and optionally classified using the Standard Industrial Classification System Code (SIC code) or North American Classification System Code (NAICS code). See also: Aggregate water-use-establishment.
FA-WWD	50	Y	N	WW disp	Wastewater land application	"A site where the disposal of waste water on land occurs. Use ""waste-injection well"" for underground waste-disposal sites."
FA-WWTP	51	Y	N	WWTP	Wastewater-treatment plant	A facility where wastewater is treated to reduce concentrations of dissolved and (or) suspended materials prior to discharge or reuse.
GL	1	Y	Y	Glacier	Glacier	Body of land ice that consists of recrystallized snow accumulated on the surface of the ground and moves slowly downslope (WSP-1541A) over a period of years or centuries.  Since glacial sites move, the lat-long precision for these sites is usually coarse.
GW	21	Y	Y	Well	Well	A hole or shaft constructed in the earth intended to be used to locate, sample, or develop groundwater, oil, gas, or some other subsurface material. The diameter of a well is typically much smaller than the depth. Wells are also used to artificially recharge groundwater or to pressurize oil and gas production zones.  Additional information about specific kinds of wells should be recorded under the secondary site types or the Use of Site field. Underground waste-disposal wells should be classified as waste-injection wells.
GW-CR	22	Y	N	Well-coll	Collector or Ranney type well	"An infiltration gallery consisting of one or more underground laterals through which groundwater is collected and a vertical caisson from which groundwater is removed.  Also known as a ""horizontal well"". These wells produce large yield with small drawdown."
GW-EX	23	Y	N	Well-exten	Extensometer well	A well equipped to measure small changes in the thickness of the penetrated sediments, such as those caused by groundwater withdrawal or recharge.
GW-HZ	24	Y	N	Well-hyp	Hyporheic-zone well	A permanent well, drive point, or other device intended to sample a saturated zone in close proximity to a stream.
GW-IW	25	Y	N	Well-iconn	Interconnected wells	Collector or drainage wells connected by an underground lateral.
GW-MW	26	Y	N	Well-multi	Multiple wells	A group of wells that are pumped through a single header and for which little or no data about the individual wells are available.
GW-TH	27	Y	N	Test hole	Test hole not completed as a well	An uncased hole (or one cased only temporarily) that was drilled for water, or for geologic or hydrogeologic testing. It may be equipped temporarily with a pump in order to make a pumping test, but if the hole is destroyed after testing is completed, it is still a test hole. A core hole drilled as a part of mining or quarrying exploration work should be in this class.
LA	3	Y	Y	Land	Land	A location on the surface of the earth that is not normally saturated with water. Land sites are appropriate for sampling vegetation, overland flow of water, or measuring land-surface properties such as temperature.  (See also: Wetland).
LA-EX	4	Y	N	Excavation	Excavation	An artificially constructed cavity in the earth that is deeper than the soil (see soil hole), larger than a well bore (see well and test hole), and substantially open to the atmosphere. The diameter of an excavation is typically similar or larger than the depth. Excavations include building-foundation diggings, roadway cuts, and surface mines.
LA-OU	5	Y	N	Outcrop	Outcrop	The part of a rock formation that appears at the surface of the surrounding land.
LA-PLY	6	Y	N	Playa	Playa	A dried-up, vegetation-free, flat-floored area composed of thin, evenly stratified sheets of fine clay, silt or sand, and represents the bottom part of a shallow, completely closed or undrained desert lake basin in which water accumulates and is quickly evaporated, usually leaving deposits of soluble salts.
LA-SH	8	Y	N	Soil hole	Soil hole	A small excavation into soil at the top few meters of earth surface. Soil generally includes some organic matter derived from plants. Soil holes are created to measure soil composition and properties. Sometimes electronic probes are inserted into soil holes to measure physical properties, and (or) the extracted soil is analyzed.
LA-SNK	7	Y	N	Sinkhole	Sinkhole	A crater formed when the roof of a cavern collapses; usually found in limestone areas. Surface water and precipitation that enters a sinkhole usually evaporates or infiltrates into the ground, rather than draining into a stream.
LA-SR	9	Y	N	Shore	Shore	The land along the edge of the sea, a lake, or a wide river where the investigator considers the proximity of the water body to be important. Land adjacent to a reservoir, lake, impoundment, or oceanic site type is considered part of the shore when it includes a beach or bank between the high and low water marks.
LA-VOL	10	Y	N	Volc Vent	Volcanic vent	Vent from which volcanic gases escape to the atmosphere. Also known as fumarole.
LK	15	Y	Y	Lake	Lake, Reservoir, Impoundment	An inland body of standing fresh or saline water that is generally too deep to permit submerged aquatic vegetation to take root across the entire body (cf: wetland). This site type includes an expanded part of a river, a reservoir behind a dam, and a natural or excavated depression containing a water body without surface-water inlet and/or outlet.
OC	13	Y	Y	Ocean	Ocean	Site in the open ocean, gulf, or sea. (See also: Coastal, Estuary, and Tidal stream).
OC-CO	14	Y	N	Coastal	Coastal	An oceanic site that is located off-shore beyond the tidal mixing zone (estuary) but close enough to the shore that the investigator considers the presence of the coast to be important. Coastal sites typically are within three nautical miles of the shore.
SB	28	Y	Y	Subsurface	Subsurface	A location below the land surface, but not a well, soil hole, or excavation.
SB-CV	29	Y	N	Cave	Cave	A natural open space within a rock formation large enough to accommodate a human. A cave may have an opening to the outside, is always underground, and sometimes submerged. Caves commonly occur by the dissolution of soluble rocks, generally limestone, but may also be created within the voids of large-rock aggregations, in openings along seismic faults, and in lava formations.
SB-GWD	30	Y	N	GW drain	Groundwater drain	An underground pipe or tunnel through which groundwater is artificially diverted to surface water for the purpose of reducing erosion or lowering the water table.  A drain is typically open to the atmosphere at the lowest elevation, in contrast to a well which is open at the highest point.
SB-TSM	31	Y	N	Tunl/mine	Tunnel, shaft, or mine	A constructed subsurface open space large enough to accommodate a human that is not substantially open to the atmosphere and is not a well. The excavation may have been for minerals, transportation, or other purposes. See also: Excavation.
SB-UZ	32	Y	N	unsat zone	Unsaturated zone	A site equipped to measure conditions in the subsurface deeper than a soil hole, but above the water table or other zone of saturation.
SP	20	Y	Y	Spring	Spring	A location at which the water table intersects the land surface, resulting in a natural flow of groundwater to the surface. Springs may be perennial, intermittent, or ephemeral.
SS	58	N	Y	SpecSource	Specific Source	A legacy site from NWIS 4.7 or earlier which had insufficient information to be mapped to a current site type. Specific Source was used for sites when none of the other Station Types applied. Most of these sites are believed to be some type of Facility and may have water-quality information associated with them. Sites coded as Specific Source cannot be edited except to change the site type and will not be displayed on NWISWeb.
ST	16	Y	Y	Stream	Stream	"A body of running water moving under gravity flow in a defined channel. The channel may be entirely natural, or altered by engineering practices through straightening, dredging, and (or) lining. An entirely artificial channel should be qualified with the ""canal"" or ""ditch"" secondary site type."
ST-CA	17	Y	N	Canal	Canal	An artificial watercourse designed for navigation, drainage, or irrigation by connecting two or more bodies of water; it is larger than a ditch.
ST-DCH	18	Y	N	Ditch	Ditch	An excavation artificially dug in the ground, either lined or unlined, for conveying water for drainage or irrigation; it is smaller than a canal.
ST-TS	19	Y	N	Tidal SW	Tidal stream	A stream reach where the flow is influenced by the tide, but where the water chemistry is not normally influenced. A site where ocean water typically mixes with stream water should be coded as an estuary.
WE	2	Y	Y	Wetland	Wetland	Land where saturation with water is the dominant factor determining the nature of soil development and the types of plant and animal communities living in the soil and on its surface (Cowardin, December 1979). Wetlands are found from the tundra to the tropics and on every continent except Antarctica. Wetlands are areas that are inundated or saturated by surface or groundwater at a frequency and duration sufficient to support, and that under normal circumstances do support, a prevalence of vegetation typically adapted for life in saturated soil conditions. Wetlands generally include swamps, marshes, bogs and similar areas. Wetlands may be forested or unforested, and naturally or artificially created.
