#
# National Water Information System
# 2018/03/05
#
#
# Date Retrieved: USGS Water Data for the Nation Help System
#
parm_cd	parm_nm	fxd_va	fxd_tx
00028	Analyzing agency	34007	Accutest Laboratories, Dayton, NJ
00028	Analyzing agency	34008	Analab Inc, Edison, NJ
00028	Analyzing agency	34010	New Jersey, DEP, Bureau of Marine Water Monitoring Lab
00028	Analyzing agency	36010	New York Department of Health
00028	Analyzing agency	36012	New York Dept. of Environmental Conservation, Albany, NY
00028	Analyzing agency	36015	Environmental Associates, Ithaca, NY
00028	Analyzing agency	36020	Nassau County, Department of Public Works
00028	Analyzing agency	38001	North Dakota Geological Survey
00028	Analyzing agency	38002	North Dakota State Water Commission
00028	Analyzing agency	38003	North Dakota State Health Department
00028	Analyzing agency	38004	Spirit Lake Tribe, North Dakota
00028	Analyzing agency	39001	Heidelberg College QW Lab, Tiffin, Ohio
00028	Analyzing agency	39002	Northeastern Ohio Regional Sewer District, Ohio
00028	Analyzing agency	39003	Lake County General Health District, Ohio
00028	Analyzing agency	39004	Cuyahoga County Board of Health, Ohio
00028	Analyzing agency	40810	Corps of Engineers, Tulsa District
00028	Analyzing agency	41000	City of Portland, Bureau of Water Works
00028	Analyzing agency	42010	City of Philadelphia, PA.
00028	Analyzing agency	42011	Susquehanna River Basin Commission
00028	Analyzing agency	42015	The Academy of Natural Sciences of Philadelphia, PA
00028	Analyzing agency	42016	Penn State Harrisburg, Middletown, PA
00028	Analyzing agency	42020	Quanterra Environmental Services, Pittsburgh, PA
00028	Analyzing agency	44001	Philip J. Holton Water Purification Plant, Scituate, RI
00028	Analyzing agency	46001	South Dakota State University Soils Laboratory
00028	Analyzing agency	46002	South Dakota Water Resources Institute
00028	Analyzing agency	46003	South Dakota Agricultural Experiment Station
00028	Analyzing agency	46004	South Dakota State Chemist
00028	Analyzing agency	46005	South Dakota School of Mines and Technology
00028	Analyzing agency	46006	South Dakota State University, Dept. Station Biochemistry
00028	Analyzing agency	46007	South Dakota Division of Water Rights
00028	Analyzing agency	46008	South Dakota Geological Survey, Vermillion, SD
00028	Analyzing agency	46009	South Dakota Department of Health
00028	Analyzing agency	47001	University of Tennessee at Knoxville
00028	Analyzing agency	48001	Texas A&M U., Trace Element Research Lab., College Sta., TX
00028	Analyzing agency	49001	Kennecott Environmental Lab, Salt Lake City, UT
00028	Analyzing agency	51001	Hampton Roads Sanitation Dist, Cent Envir Lab, Virg Bch, VA
00028	Analyzing agency	51003	George Mason University, Fairfax, VA
00028	Analyzing agency	51005	Virginia Tech., Occoquan Watershed Monitoring Laboratory
00028	Analyzing agency	55555	Individual
00028	Analyzing agency	66666	Driller
00028	Analyzing agency	80000	USGS-Branch of Quality Systems
00028	Analyzing agency	80003	Inst. Kernphysik, Tech Univ, Darmstadt, Germany
00028	Analyzing agency	80010	Atlanta Central Laboratory, GA
00028	Analyzing agency	80020	USGS-National Water Quality Lab, Denver, CO
00028	Analyzing agency	80030	Albany Central Laboratory, NY
00028	Analyzing agency	80040	USGS Geologic Division, Branch of Geochemistry, Arvada, CO
00028	Analyzing agency	80042	USGS, Biology Dept., Woods Hole Oceanographic Ins, MA
00028	Analyzing agency	80045	USGS-Geologic Division Radionuclide Lab, Denver, CO
00028	Analyzing agency	80055	IEAE, Vienna, Austria
00028	Analyzing agency	80088	Radioactive Dating Lab, Geol. Survey, Sweden-Frescati
00028	Analyzing agency	80090	USGS-National Research Program Lab, Reston, VA
00028	Analyzing agency	80093	USGS-National Research Program Lab, Denver/Boulder, CO
00028	Analyzing agency	80095	USGS-National Research Program Lab, Menlo Park, CA
00028	Analyzing agency	80096	USGS Solids/Organic Matter Research Lab, Denver, CO
00028	Analyzing agency	80097	USGS Carbon Research Lab, Boulder, CO
00028	Analyzing agency	80098	USGS Isotope Research Lab, Menlo Park, CA
00028	Analyzing agency	80110	Severn-Trent Laboratory - Mobile: Mobile, AL
00028	Analyzing agency	80113	District Water-Quality Lab, Tuscaloosa, Alabama
00028	Analyzing agency	80141	Geological Survey of Alabama
00028	Analyzing agency	80201	Alaska Division of Geologic and Geophysical Surveys (DGGS)
00028	Analyzing agency	80203	Chemical and Geological Laboratories of Alaska
00028	Analyzing agency	80205	Northern Test Lab (Soldotna, Alaska)
00028	Analyzing agency	80213	District Water-Quality Lab, Anchorage, Alaska
00028	Analyzing agency	80410	City of Tucson, AZ
00028	Analyzing agency	80413	District Water-Quality Lab, Yuma, Arizona
00028	Analyzing agency	80415	Ariz. Dept. of Environmental Quality
00028	Analyzing agency	80417	Ariz. Dept. of Water Resources
00028	Analyzing agency	80501	Ouachita Baptist University, Arkadelphia, Arkansas
00028	Analyzing agency	80503	University of Arkansas, Dept. of Engineering, Fayetteville
00028	Analyzing agency	80505	University of Arkansas, Dept. of Geology, Fayetteville
00028	Analyzing agency	80513	District Water-Quality Lab, Little Rock, Arkansas
00028	Analyzing agency	80515	Arkansas Geological Commission
00028	Analyzing agency	80601	Health and Human Services Indian Health Services, CA
00028	Analyzing agency	80613	District Water-Quality Lab, Sacramento, California
00028	Analyzing agency	80615	Sediment Analysis Lab, USGS, Marina, California
00028	Analyzing agency	80618	District Water-Quality Lab, San Diego, California
00028	Analyzing agency	80620	Severn-Trent Laboratory - Sacramento: West Sacramento, CA
00028	Analyzing agency	80623	City of San Diego Lab, California
00028	Analyzing agency	80630	Severn-Trent Laboratory - Los Angeles: Santa Ana, CA
00028	Analyzing agency	80640	Montgomery-Watson-Harza Laboratories, Monrovia, CA
00028	Analyzing agency	80641	Lawrence Livermore Lab, California
00028	Analyzing agency	80642	Global Geochemistry Corporation, Canoga Park, CA
00028	Analyzing agency	80643	Eberline Services, Richmond, California
00028	Analyzing agency	80645	Montgomery Watson Laboratories, Monrovia, CA
00028	Analyzing agency	80647	High Sierra Lab, Truckee, California
00028	Analyzing agency	80650	University of California, Berkeley
00028	Analyzing agency	80670	University of California, Davis
00028	Analyzing agency	80671	University of California, San Diego, La Jolla
00028	Analyzing agency	80672	University of California, Los Angeles
00028	Analyzing agency	80801	City of Arvada, CO
00028	Analyzing agency	80810	Colorado Division of Wildlife
00028	Analyzing agency	80820	Pine River Watershed Stakeholders Group, Colorado
00028	Analyzing agency	80839	Env.Health Div. Vet.Science College, CSU, Fort Collins, CO
00028	Analyzing agency	80841	Davis Laboratories, Colorado
00028	Analyzing agency	80843	Denver Regional Council Of Government
00028	Analyzing agency	80845	Metropolitan Denver Sewage Disposal District Lab. No. 1
00028	Analyzing agency	80847	Soils Testing Laboratory, Colo State Univ, Ft. Collins, CO
00028	Analyzing agency	80849	Rocky Mountain Analytical Laboratory (Arvada, Colorado)
00028	Analyzing agency	80851	Upper Clear Creek Advisory Group, Idaho Springs, CO
00028	Analyzing agency	80853	City of Colorado Springs, Environmental Quality Lab
00028	Analyzing agency	80855	Severn-Trent Laboratory, Denver, CO
00028	Analyzing agency	80857	City of Fort Collins, CO
00028	Analyzing agency	80859	Acculabs, Inc., Golden, CO
00028	Analyzing agency	81210	St. Johns Water Management District, Florida
00028	Analyzing agency	81213	District Water-Quality Lab, Ocala, Florida
00028	Analyzing agency	81220	Severn-Trent Laboratory - Pensacola: Pensacola, FL
00028	Analyzing agency	81222	Severn-Trent Laboratory - Tallahassee: Tallahassee, FL
00028	Analyzing agency	81223	University of Miami-School of Marine Science, Miami, FL
00028	Analyzing agency	81227	Volusia County Environmental Control, FL
00028	Analyzing agency	81229	University of Miami, Miami, FL
00028	Analyzing agency	81232	South Florida Water Management District, West Palm Beach, F
00028	Analyzing agency	81233	Florida International University, Miami, FL
00028	Analyzing agency	81320	Severn-Trent Laboratory - Savannah: Savannah, GA
00028	Analyzing agency	81330	University of Georgia, Ag and Env Services Laboratory
00028	Analyzing agency	81341	Georgia State Natural Resources Department
00028	Analyzing agency	81345	USGS, Panola Mountain Research (WEBB) Lab, Georgia
00028	Analyzing agency	81350	USGS, Sediment-partitioning Research Lab, Georgia
00028	Analyzing agency	81513	District Water-Quality Lab, Honolulu, Hawaii
00028	Analyzing agency	81601	Radiological & Env. Sciences Lab, DOE, INEL, Idaho Falls,ID
00028	Analyzing agency	81603	Environmental Chemistry Lab, E.G.&G., INEL, Idaho Falls, ID
00028	Analyzing agency	81605	Radiation Measurements Lab, E.G.&G., INEL, Idaho Falls, ID
00028	Analyzing agency	81607	Environmental Analysis Group, WINCO, INEL, Idaho Falls, ID
00028	Analyzing agency	81641	Idaho Dept. of Health and Welfare, Bureau of Laboratories
00028	Analyzing agency	81700	USGS - Illinois District
00028	Analyzing agency	81720	Severn-Trent Laboratory - Chicago: Chicago, IL
00028	Analyzing agency	81741	Bloomington Normal Sanitary District, Illinois
00028	Analyzing agency	81777	University of Chicago, Illinois
00028	Analyzing agency	81804	Severn-Trent Laboratory - Valparaiso: Valparaiso, IN
00028	Analyzing agency	81941	Iowa State Hygienic Laboratory
00028	Analyzing agency	81951	Iowa Department of Environmental Quality
00028	Analyzing agency	81960	USGS-Iowa District Sediment Lab, Iowa City, IA
00028	Analyzing agency	82013	District Research Water-Quality Lab, Lawrence, KS
00028	Analyzing agency	82041	Kansas State Department of Health and Environment
00028	Analyzing agency	82043	Johnson County Environmental Laboratory, Lenexa, Kansas
00028	Analyzing agency	82101	Kentucky Cabinet of Human Resources
00028	Analyzing agency	82103	Beckmar Environmental Laboratory, Kentucky
00028	Analyzing agency	82105	USGS-Kentucky District Sediment Lab, Louisville, KY
00028	Analyzing agency	82213	District Water-Quality Lab, Baton Rouge, Louisiana
00028	Analyzing agency	82215	Sediment Analysis Lab, USGS, Baton Rouge, Lousiana
00028	Analyzing agency	82241	Louisiana, Gulf South Research Institute
00028	Analyzing agency	82301	University of Maine Laboratory, Orono, ME
00028	Analyzing agency	82303	Houlton Band of Maliseet Indians, Maine
00028	Analyzing agency	82341	Maine, Dept. of Environmental Protection
00028	Analyzing agency	82440	District Water-Quality Lab, Baltimore, Maryland
00028	Analyzing agency	82520	Severn-Trent Laboratory - On-Site Technology: Westfield, MA
00028	Analyzing agency	82522	Severn-Trent Laboratory - Westfield: Westfield, MA
00028	Analyzing agency	82524	Severn-Trent Laboratory - Billerica: Billerica, MA
00028	Analyzing agency	82641	Washtenaw County Health Department, Michigan
00028	Analyzing agency	82810	University of Southern Mississippi
00028	Analyzing agency	82901	Univ. of Missouri Environmental Trace Substances Lab
00028	Analyzing agency	82902	Severn-Trent Laboratory - St. Louis: Earth City, MO
00028	Analyzing agency	82913	District Water-Quality Lab, Rolla, Missouri
00028	Analyzing agency	82915	Sediment Analysis Lab, USGS, Rolla, Missouri
00028	Analyzing agency	83003	Billings Area Indian Health Service - Billings, MT
00028	Analyzing agency	83005	Env Bio-Geo Chem Lab, Dept of Geol, U of MT, Missoula, MT
00028	Analyzing agency	83011	MT Department of Environmental Quality
00028	Analyzing agency	83015	Sediment Analysis Lab, USGS, Helena, Montana
00028	Analyzing agency	83101	Harris Laboratories, Lincoln, Nebraska
00028	Analyzing agency	83105	Olsen's Agricultrual Laboratory, Inc., McCook, NE
00028	Analyzing agency	83107	University of Nebraska, Limnology Laboratory, Lincoln, NE
00028	Analyzing agency	83109	Univ of Nebraska, Water Sciences Lab, Lincoln, NE
00028	Analyzing agency	83113	District Water-Quality Lab, Lincoln, Nebraska
00028	Analyzing agency	83241	Sierra Environmental Monitoring Service, Nevada
00028	Analyzing agency	83341	Water Supply & Pollution Control Comm. Lab., NH
00028	Analyzing agency	83401	Teledyne Isotopes, Inc. New Jersey
00028	Analyzing agency	83405	Sussex County Health Department, New Jersey
00028	Analyzing agency	83410	Rutgers University, Geology Dept, Stable Isotope Lab, NJ
00028	Analyzing agency	83413	USGS New Jersey Water Science Center Laboratory
00028	Analyzing agency	83441	NJ Dpt Hlth&Senior Svcs-Div Pub Hlth&Env Labs-Env&Chem Lab
00028	Analyzing agency	83481	EMSL Analytical Services, Westmont, NJ
00028	Analyzing agency	83513	District Water-Quality Lab, Albuquerque, New Mexico
00028	Analyzing agency	83514	USGS District Sediment Laboratory, Albuquerque, New Mexico
00028	Analyzing agency	83523	New Mexico Institute of Mining and Technology - Socorro
00028	Analyzing agency	83541	University of New Mexico
00028	Analyzing agency	83542	USBIA Soil, Water, & Material Testing Lab., New Mexico
00028	Analyzing agency	83611	Monroe County Health Department, New York
00028	Analyzing agency	83613	New York WSC Low Ionic Strength Lab, Troy (formerly Albany)
00028	Analyzing agency	83620	Upstate Freshwater Institute, New York
00028	Analyzing agency	83621	O'Brien and Gere, New York
00028	Analyzing agency	83622	Darrin Fresh Water Institute, Bolton Landing, New York
00028	Analyzing agency	83630	Syracuse University, Dept. of Civil Engineering
00028	Analyzing agency	83631	Metropolitan Laboratory, New York
00028	Analyzing agency	83640	City of Ithaca Waste Water Treatment Plant, Ithaca, NY
00028	Analyzing agency	83641	City of Ithaca Water Filtration Plant, Ithaca, NY
00028	Analyzing agency	83650	Erie County Laboratory, New York
00028	Analyzing agency	83652	Lamont-Doherty Earth Observatory, Palisades, New York
00028	Analyzing agency	83655	Severn-Trent Laboratory - Newburgh, New York
